"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"49",50,56,1.11185724193159,0.053451586494825,1.00954872732938,1.02542213564794,1.0753530620025,1.11100081289579,1.14742785627479,1.20121373712529,1.21903262990566
"50",51,57,1.11855284189016,0.0523414505904503,1.0183046427181,1.03387357706258,1.08281820555912,1.11773652769857,1.15339763797496,1.20601665701176,1.22343995887783
"51",52,58,1.11216073172174,0.0508323724280223,1.01474959532899,1.02989045716645,1.07746579063217,1.11138638022971,1.14601157287013,1.19707241514999,1.2139723275771
"52",53,59,1.24961958725598,0.0525863194693411,1.14866401950706,1.16439902143305,1.21376007070552,1.24888202129598,1.28467509674974,1.33735607779108,1.35476658772403
"53",54,60,1.19201992200245,0.0480399408295813,1.09971032295562,1.11411714729906,1.1592753297977,1.19137462695473,1.22406108753316,1.27212387274893,1.28799660432699
"54",55,61,1.20053779662763,0.0460490205545496,1.11196780286025,1.12581127870669,1.16916563631208,1.19994908065875,1.23126820397508,1.27727249121595,1.29245335250765
"55",56,62,1.26044847635703,0.0449675767737329,1.17384282220498,1.18740660403489,1.22983388225961,1.25991376446255,1.29048018401603,1.33531430947,1.35009280525719
"56",57,63,1.19253836343094,0.0409594229041442,1.11360002746019,1.12597532877891,1.16466200281033,1.19206945971966,1.2199035736208,1.26070087918616,1.27414140082245
"57",58,64,1.14238947806237,0.0383860410828719,1.06838323822261,1.07999180473056,1.11626947725563,1.14195956352787,1.16804082985459,1.20625363582749,1.21883885191217
"58",59,65,1.15717531939975,0.0375498520167764,1.0847397561624,1.09611174902159,1.13163181474866,1.15676918578927,1.18227609778066,1.21962425439025,1.23191887576561
"59",60,66,1.25871422606957,0.0378196950892846,1.18567107539771,1.19715905747123,1.23300297236267,1.25833546580719,1.28401259172995,1.32156138489361,1.33390981554788
"60",61,67,1.31044109080139,0.0361140116636733,1.24060625077104,1.25161000233261,1.28590510941269,1.31010935437737,1.33461544379035,1.37040376550339,1.38216114350498
"61",62,68,1.20366794664848,0.0319793241659256,1.14179819668514,1.15155407908604,1.18194662931793,1.2033847471753,1.22508054568788,1.25674783576522,1.26714708153078
"62",63,69,1.19008155917093,0.0303983186890251,1.13124075695394,1.14052608239265,1.16943957016261,1.18982274720517,1.21044141457325,1.24051986904671,1.25039315634131
"63",64,70,1.16243826215533,0.0288038593502384,1.10666275378551,1.11546934965655,1.14288285427942,1.16220036217482,1.18173433256158,1.21021867474901,1.21956572602649
"64",65,71,1.16151825217669,0.0278157900875847,1.10763394599378,1.11614716977835,1.14263772173979,1.16129621753182,1.18015673989501,1.20764671629958,1.21666435381113
"65",66,72,1.16383549239892,0.0268726852738851,1.11175613114048,1.11998941352604,1.14559916910673,1.16362867095973,1.18184635686179,1.20838705912741,1.21709019494066
"66",67,73,1.07806674784109,0.0249255493293775,1.0297616771105,1.03739810375753,1.06115165333625,1.07787465604779,1.09477244050851,1.11939063554383,1.12746345303505
"67",68,74,1.13184276488559,0.0252917706208501,1.08280925174479,1.09056527581992,1.11468259483165,1.13165438338076,1.14879757756644,1.17376284130139,1.18194682784542
"68",69,75,1.16645806347905,0.0249160713930041,1.11812949149033,1.12577957015366,1.14955712882434,1.16628066209482,1.18316561015061,1.2077416897766,1.21579478710847
"69",70,76,1.13392064535486,0.0235840216810719,1.08816314556607,1.09540924235321,1.11792559795327,1.13375714425492,1.14973745758778,1.17298976607011,1.18060730334752
"70",71,77,1.18900166785953,0.023446237277548,1.14348735173051,1.15070067119181,1.1731045398352,1.18884755723371,1.20473079724803,1.22782835032626,1.23539177767749
"71",72,78,1.12856933262452,0.0217892860089634,1.08626295642016,1.0929699012537,1.11379724743985,1.12842910715435,1.14318855556156,1.1646470861862,1.17167259487186
"72",73,79,1.1983984331631,0.0218553067274798,1.15594157364427,1.16267767176177,1.18358572950159,1.1982655766763,1.21306630749782,1.23457238036948,1.24161030198011
"73",74,80,1.27132894691449,0.0214170222857434,1.22969512056492,1.23630738661312,1.25681857975275,1.27120868401166,1.28570821309849,1.30676073503348,1.31364621498431
"74",75,81,1.195752136184,0.0193628138999605,1.15809955800141,1.16408238837902,1.18263577373799,1.19564762379537,1.20875456754243,1.22777838531472,1.23399864769494
"75",76,82,1.22360920548966,0.0187259803562011,1.18717914340922,1.19297149233853,1.2109271943426,1.2235136800361,1.23618708232161,1.25457276466094,1.26058212924815
