"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"87",88,94,1.36824092037168,0.0155134840241846,1.33800199228415,1.34282389999034,1.35774552113326,1.36818228879848,1.37867240393404,1.39385793827822,1.39881304631945
"88",89,95,1.2148145925541,0.0140493202746162,1.1874326461138,1.19179825756324,1.20530918009488,1.21476043289417,1.22426096428378,1.23801567098018,1.24250432336097
"89",90,96,0.996912012579701,0.0123275918823321,0.972895083268104,0.976721962007275,0.988569713176807,0.996861199621768,1.00519891959732,1.01727539070525,1.02121770718818
"90",91,97,0.875648476399033,0.011263638572933,0.853709698881758,0.857204174601496,0.86802517243534,0.875600181406513,0.883219132885606,0.894257516754753,0.897861709807245
"91",92,98,0.783319952449965,0.010442697425264,0.76298481699417,0.766222752884797,0.776251394347896,0.78327354792071,0.790337923926846,0.800575442043359,0.803918800431248
"92",93,99,0.840245528590365,0.0107339067216958,0.819337633883814,0.822668122460712,0.832980920138495,0.840199821458622,0.847460310648732,0.857978845850767,0.861413172626395
"93",94,100,0.811536416887352,0.0106664000185644,0.790763756845122,0.794071812939695,0.804316794278317,0.811489686216071,0.818705097330431,0.82916042335894,0.832574642905876
"94",95,101,0.850268538505732,0.0112084392664679,0.82844067839286,0.831916677209899,0.842681955540318,0.850219288254647,0.857801432655322,0.868788396839781,0.872376283124544
"95",96,102,0.961433038252214,0.0122720344910991,0.937529000650465,0.94133678379432,0.953127462012984,0.961380824050287,0.969681694591009,0.981707400041333,0.985633804252107
"96",97,103,1.11541096701214,0.0134939486043864,1.08911827086879,1.09330859133084,1.10628001966751,1.11535655207002,1.12448259535572,1.13769895693111,1.14201289821793
"97",98,104,1.21545608577552,0.0142554629799535,1.18767458665458,1.19210337264596,1.20581078561591,1.21540035455097,1.2250406320112,1.23899890309125,1.24355430030494
"98",99,105,1.22858446756927,0.014403496358968,1.20051441002934,1.2049892123186,1.21883901992304,1.22852818083631,1.23826855571856,1.25237172189482,1.2569743974212
"99",100,106,1.18194638363443,0.0140363286009345,1.15459390472256,1.15895383093711,1.17244898143355,1.18189082079992,1.1913832154823,1.20512846612787,1.20961462099587
"100",101,107,1.21571914282346,0.0139492108629473,1.18853110171679,1.19286608534447,1.20628168875753,1.21566579196889,1.22509843785488,1.23875418482837,1.2432103719382
"101",102,108,1.1723256948953,0.013337660084152,1.14632838162568,1.15047380302919,1.16330222186854,1.17227511401073,1.18129402849479,1.19435012267046,1.19861045469583
"102",103,109,1.07354708983677,0.012485899973356,1.04921300773474,1.05309250095643,1.06509930145592,1.07349868443071,1.08194211033856,1.09416679387991,1.09815625540446
"103",104,110,0.984861447399195,0.0117867712884253,0.961893697792875,0.965554461157977,0.976885968786307,0.984814426640246,0.992785667579256,1.00432882565491,1.00809641162226
"104",105,111,0.901362585590876,0.0111434932769441,0.879652517361019,0.883111825971122,0.893821592295963,0.901316663886847,0.90885351856988,0.919769988258302,0.923333622578481
"105",106,112,0.887770634637425,0.0109545477487438,0.866428429962618,0.869829181167495,0.880357550119649,0.887725577566421,0.895134601395156,0.905865781813829,0.909368894443081
"106",107,113,0.817306485507049,0.0104897688204271,0.796874728713038,0.80012922957281,0.810206995262707,0.817261608757351,0.824357054578186,0.834636820065533,0.837993272642562
"107",108,114,0.700470557938552,0.0097944539262113,0.681403823603189,0.684438349379709,0.693839651747364,0.700424907570583,0.707051699653698,0.716658484027939,0.719796718914211
"108",109,115,0.636028455464172,0.00948589619214464,0.617570799858644,0.620506388424559,0.629604870611933,0.635981297699656,0.642400632626712,0.651711381922647,0.654754104008049
"109",110,116,0.577479182342564,0.00921676112952366,0.559554392289592,0.562403048840849,0.571236133147686,0.577430148884808,0.583668779155099,0.59272257345122,0.595682624600344
"110",111,117,0.590917269282993,0.00956370897568793,0.572319776236311,0.57527485510865,0.584438831042112,0.590865675422481,0.597339464003312,0.606735674838727,0.609807965018908
"111",112,118,0.575774705369486,0.00980308000195547,0.55671959268684,0.559745518366366,0.569132652760748,0.57571907091986,0.582356109768991,0.591993666600877,0.595145982888788
"112",113,119,0.601764759704551,0.010539951224255,0.581282239023348,0.584533667703558,0.594622526972518,0.601703224832754,0.608839912087693,0.619205752835328,0.622596976638086
"113",114,120,0.621269973768968,0.011330159871334,0.599259621227071,0.602751728179947,0.613590818188848,0.62120109872392,0.628874047381721,0.640023158527993,0.643671735873741
"114",115,121,0.766389514259806,0.0132755369219917,0.740588428736192,0.744684714970271,0.757394009035014,0.766312861877353,0.775301459232927,0.788355781894792,0.792626207307586
"115",116,122,0.86373649672572,0.0147745729603563,0.835018973588868,0.839579010702429,0.853725812828131,0.863652256442681,0.873655348637578,0.888181334111988,0.892932748682438
"116",117,123,1.0432170568579,0.0169216791105277,1.01031191135675,1.01554028936932,1.0317542349454,1.04312556462975,1.05458014122757,1.07120591271427,1.07664214342707
"117",118,124,1.06602044941977,0.0176650165654037,1.03167573889154,1.03713145161426,1.05405298794866,1.06592287539041,1.07788154348142,1.09524228119374,1.10091966319593
"118",119,125,1.06407251258407,0.0179204603809576,1.02923577975739,1.03476855378516,1.05193113593844,1.06397191245322,1.07610422302961,1.09371962767741,1.09948094561922
"119",120,126,1.0066955014815,0.0173627813740432,0.972949592856344,0.978307526229268,0.994930709663734,1.00659568286311,1.01835147907697,1.03542396724176,1.04100866896086
